SID,MATRICULA,CVE_PROGRAMA,ESTADO,PERIODO,FECHA_ACT
1,2022A00001,LIME2020MX,Egresado,2024CC,2025-01-24
2,2023C00002,LICI2020MX,Activo,2024CC,2024-09-30
3,2022C00003,LICO2020MX,Egresado,2024CC,06/04/2024
4,2018C00004,LIEN2022MX,Egresado,2021CA,2024-10-09
5,2024A00005,LIDE2020MX,Activo,2025CA,2025-02-07
6,2024A00006,LICO2020MX,Activo,2025CA,2024-11-13
7,2023C00007,LIGA2020MX,Activo,2025CA,2024-08-04
8,2025C00008,LICO2020MX,Activo,2025CA,2024-11-26
9,2023B00009,LIPS2020MX,Activo,2025CA,2024-11-07
10,2018B00010,LICO2020MX,Activo,2020CC,2025-01-24
11,2023A00011,LIED2020MX,Activo,2025CA,2024-07-25
12,2023A00012,LIDN2022MX,Baja Temporal,2024CC,2024-06-06
13,2019B00013,LIIN2020MX,Egresado,2021CC,2025-01-02
14,2020A00014,LIDE2020MX,Egresado,2022CC,2024-06-01
14,2020A00014,LIDE2020MX,Egresado,2022CC,2024-06-01
15,2020C00015,LICO2020MX,Titulado,2022CC,2025-01-29
16,2022A00016,LISC2020MX,Activo,2024CC,2025-01-05
17,2022A00017,LISC2020MX,Activo,2024CC,2024-09-01
18,2025C00018,LICO2020MX,Activo,2025CA,2024-09-03
19,2025A00019,LIEN2022MX,Activo,2025CA,2025-01-14
20,2024B00020,LIDE2020MX,Activo,2025CA,2025-02-05
21,2022C00021,LICI2020MX,Egresado,2024CC,2025-03-09
22,2024B00022,LISC2020MX,Activo,2025CA,2024-08-21
23,2020A00023,LIED2020MX,Titulado,2022CC,2024-09-18
24,2025C00024,LIPS2020MX,Activo,2025CA,2024-06-11
25,2022A00025,LIDE2020MX,Egresado,2024CC,2024-09-07
26,2022A00026,LIDE2020MX,Titulado,2024CC,2024-09-15
27,2024C00027,LICI2020MX,Activo,2025CA,10 Jan 2025
28,2024B00028,LIDN2022MX,Activo,2025CA,2024-12-07
29,2024A00029,LIDE2020MX,Activo,2025CA,2024-09-04
30,2018B00030,LISC2020MX,TITULADO,2020CC,2024-09-25
31,2024C00031,LIME2020MX,Activo,2024CC,2024-07-31
32,2022B00032,LICO2020MX,Egresado,2024CC,2024-12-25
33,2024B00033,LIIN2020MX,activo,2025CA,2024-08-02
34,2019B00034,LIPS2020MX,Egresado,2021CC,2024-12-07
34,2019B00034,LIPS2020MX,Egresado,2021CC,2024-12-07
35,2021B00035,LICI2020MX,Baja Definitiva,2023CC,18/01/2025
36,2020C00036,LIDN2022MX,Egresado,2022CC,2024-11-13
