SID,NUM_TRANSACCION,PERIODO,TIPO_CARGO,MONTO,SALDO,FECHA_ACT
1,TXN-2020-000001,2022CA,Inscripción,3404.67,0.0,2020-03-26
1,TXN-2021-000002,2022CB,Colegiatura,6011.43,0.0,2021-04-27
1,TXN-2022-000003,2022CC,Reinscripción,2970.32,2719.24,2022-09-06
1,TXN-2023-000004,2023CA,Reinscripción,3375.82,2543.19,2023-08-26
1,TXN-2024-000005,2023CB,Reinscripción,2928.43,0.0,2024-08-16
1,TXN-2025-000006,2023CC,Colegiatura,5232.99,0.0,2025-04-23
2,TXN-2020-000007,2023CA,Inscripción,2659.13,1194.78,2020-12-05
2,TXN-2021-000008,2023CB,Reinscripción,3442.28,2420.93,2021-12-06
2,TXN-2022-000009,2023CC,Colegiatura,4502.24,0.0,2022-11-02
2,TXN-2023-000010,2024CA,Colegiatura,5657.23 ,2543.0,2023-06-27
2,TXN-2024-000011,2024CB,Colegiatura,4761.07,2393.55,2024-10-29
2,TXN-2025-000012,2024CC,Reinscripción,2695.62,2003.95,2025-05-16
3,TXN-2020-000013,2022CA,Inscripción,3979.96,0.0,2020-04-08
3,TXN-2021-000014,2022CB,Reinscripción,2242.76,0.0,2021-04-27
3,TXN-2022-000015,2022CC,Colegiatura,3957.12,1110.1,2022-04-17
3,TXN-2023-000016,2023CA,Colegiatura,4585.95,0.0,2023-12-23
3,TXN-2024-000017,2023CB,Reinscripción,3254.45,0.0,2024-01-26
3,TXN-2025-000018,2023CC,Colegiatura,6128.7,0.0,2025-11-12
4,TXN-2020-000019,2020CA,Inscripción,4768.62,0.0,2020-07-22
4,TXN-2021-000020,2020CA,Colegiatura,4199.86,0.0,2021-08-15
4,TXN-2022-000021,2020CA,Colegiatura,6168.7,0.0,2022-09-06
4,TXN-2023-000022,2020CA,Colegiatura,4895.91,0.0,2023-07-12
4,TXN-2024-000023,2020CA,Reinscripción,3062.88,0.0,2024-01-19
4,TXN-2025-000024,2020CA,Colegiatura,5897.24,0.0,2025-11-21
5,TXN-2020-000025,2024CA,Inscripción,2583.43,0.0,2020-03-03
5,TXN-2021-000026,2024CB,Colegiatura,4122.55,3745.18,2021-03-11
5,TXN-2022-000027,2024CC,Colegiatura,5227.93,0.0,2022-12-26
5,TXN-2023-000028,2025CA,Colegiatura,3986.68,0.0,2023-05-08
6,TXN-2020-000029,2024CA,Inscripción,5000.73,0.0,2020-05-21
6,TXN-2021-000030,2024CB,Colegiatura,4469.88,0.0,2021-10-24
6,TXN-2022-000031,2024CC,Reinscripción,1643.7,0.0,2022-09-06
6,TXN-2023-000032,2025CA,Reinscripción,2122.42,1571.21,2023-11-03
6,TXN-2024-000033,2025CA,Colegiatura,4374.68,0.0,2024-11-18
7,TXN-2020-000034,2023CA,Inscripción,4564.72,0.0,2020-09-17
7,TXN-2021-000035,2023CB,Colegiatura,5115.69,0.0,2021-07-09
